Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,platform,book_title,book_author,goodreads_rating
Reacher,2022-02-04,TV-MA,8.0,291841,"Action, Crime, Drama",2022,series,Amazon,jack reacher,lee child,4.08
The Terminal List,2022-07-01,TV-MA,7.9,127044,"Action, Drama, Thriller",2022,series,Amazon,the terminal list,jack carr,4.29
The Lord of the Rings: The Rings of Power,2022-09-01,TV-14,6.9,436113,"Action, Adventure, Drama",2022,series,Amazon,the lord of the rings and related middle-earth works,j. r. r. tolkien,4.5
Cross,2024-11-14,TV-MA,7.2,34967,"Action, Crime, Drama",2024,series,Amazon,alex cross,james patterson,4.13
We Were Liars,2025-06-18,TV-14,6.8,15550,"Drama, Mystery, Romance",2025,series,Amazon,we were liars,e. lockhart,3.66
Ballard,2025-07-09,TV-14,7.5,22736,"Crime, Drama",2025,series,Amazon,renÃ©e ballard,michael connelly,4.12
The Terminal List: Dark Wolf,2025-08-27,TV-MA,7.6,26656,"Action, Drama, Thriller",2025,series,Amazon,the terminal list,jack carr,4.29
56 Days,2026-02-18,,6.5,1393,"Crime, Drama, Mystery",2026,series,Amazon,56 days,catherine ryan howard,3.71
Young Sherlock,2026-03-04,TV-14,7.5,24793,"Action, Adventure, Drama",2026,series,Amazon,young sherlock holmes,andrew lane,3.72
Scarpetta,2026-03-11,TV-MA,6.0,14872,"Crime, Drama, Mystery",2026,series,Amazon,kay scarpetta,patricia cornwell,4.03
Off Campus,2026-05-13,TV-MA,8.2,2076,"Drama, Romance, Sport",2026,series,Amazon,off-campus,elle kennedy,4.19
Invincible,2021-03-25,TV-MA,8.7,325720,"Animation, Action, Adventure",2021,series,Amazon,invincible,robert kirkman,4.53
Batman: Caped Crusader,2024-08-01,TV-14,7.2,16288,"Animation, Action, Crime",2024,series,Amazon,batman comics,dc comics,3.94
Red Queen,2024-02-29,,6.8,6354,"Crime, Drama, Thriller",2024,series,Amazon,red queen,juan gÃ³mez-jurado,4.08
The House of the Spirits,2026-04-29,R,7.7,1779,"Drama, Romance, Haunting",2026,series,Amazon,the house of the spirits,isabel allende,4.3
Maxton HallÃ¢â‚¬â€The World Between Us,2024-05-09,TV-MA,7.5,22556,"Drama, Romance",2024,series,Amazon,save me,mona kasten,3.96
One Night in Idaho: The College Murders,2025-07-11,TV-14,7.1,2020,"Documentary, Crime",2025,series,Amazon,the idaho four: an american tragedy,james patterson and vicky ward,3.5
The Aeronauts,2019-12-20,PG-13,6.6,39885,"Action, Adventure, Drama",2019,movie,Amazon,falling upwards: how we took to the air,richard holmes,3.8
Bloodshot,2020-03-27,PG-13,5.7,90285,"Action, Adventure, Sci-Fi",2020,movie,Amazon,bloodshot,"kevin vanhook, don perlin, bob layton",3.89
