Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author,search_key
The Aeronauts,20/12/2019,PG-13,6.6,39885,"Action, Adventure, Drama",2019,movie,y,falling upwards: how we took to the air,richard holmes,falling upwards: how we took to the air
Bloodshot,27/03/2020,PG-13,5.7,90285,"Action, Adventure, Sci-Fi",2020,movie,y,bloodshot,"kevin vanhook, don perlin, bob layton",bloodshot
Radioactive,24/07/2020,PG-13,6.3,23792,"Biography, Drama, Romance",2019,movie,y,radioactive: marie & pierre curie: a tale of love and fallout,lauren redniss,radioactive: marie & pierre curie: a tale of love and fallout
Chemical Hearts,21/08/2020,R,6.3,17270,"Drama, Romance",2020,movie,y,our chemical hearts,krystal sutherland,our chemical hearts
The Postcard Killings,25/09/2020,Not Rated,5.8,18316,"Crime, Drama, Mystery",2020,movie,y,the postcard killers,james patterson & liza marklund,the postcard killers
Evil Eye,13/10/2020,Not Rated,4.8,4377,"Horror, Mystery, Thriller",2020,movie,y,evil eye,madhuri shekar,evil eye
Soorarai Pottru,12/11/2020,TV-MA,8.7,127179,Drama,2020,movie,y,simply fly: a deccan odyssey,g. r. gopinath,simply fly: a deccan odyssey
The Map of Tiny Perfect Things,12/02/2021,PG-13,6.8,32443,"Comedy, Fantasy, Romance",2021,movie,y,the map of tiny perfect things,lev grossman,the map of tiny perfect things
Without Remorse,30/04/2021,R,5.8,70410,"Action, Drama, Thriller",2021,movie,y,without remorse,tom clancy,without remorse
The Mad Women's Ball,17/09/2021,,6.7,4727,"Drama, Thriller",2021,movie,y,le bal des folles,victoria mas,le bal des folles
Birds of Paradise,24/09/2021,R,5.9,3092,Drama,2021,movie,y,bright burning stars,a. k. small,bright burning stars
The Tender Bar,07/01/2022,R,6.7,36714,"Biography, Drama, Romance",2021,movie,y,the tender bar,j. r. moehringer,the tender bar
Homestay,11/02/2022,,6.4,323,"Drama, Fantasy, Mystery, and Romance",2022,movie,y,colorful,eto mori,colorful
All the Old Knives,08/04/2022,R,6.1,31887,"Mystery, Thriller",2022,movie,y,all the old knives,olen steinhauer,all the old knives
My Best Friend's Exorcism,30/09/2022,R,5.3,7356,"Comedy, Horror, Thriller",2022,movie,y,my best friend's exorcism,grady hendrix,my best friend's exorcism
Catherine Called Birdy,07/10/2022,PG-13,6.6,8895,Adventure,2022,movie,y,catherine called birdy,karen cushman,catherine called birdy
My Policeman,04/11/2022,R,6.5,23579,"Drama, Romance",2022,movie,y,my policeman,bethan roberts,my policeman
The People We Hate at the Wedding,18/11/2022,R,5.8,11877,Comedy,2022,movie,y,the people we hate at the wedding,grant ginder,the people we hate at the wedding
Something from Tiffany's,09/12/2022,PG,6.2,12708,"Comedy, Family, Romance",2022,movie,y,something from tiffany's,melissa hill,something from tiffany's
Perfect Addiction,23/03/2023,R,5.5,4496,"Action, Drama, Romance",2023,movie,y,perfect addiction,claudia tan,perfect addiction
Beautiful Disaster,05/05/2023,R,5.3,15484,"Comedy, Drama, Romance",2023,movie,y,beautiful disaster,jamie mcguire,beautiful disaster
Ang Mga Kaibigan ni Mama Susan,18/05/2023,,5.1,153,"Horror, Thriller",2023,movie,y,ang mga kaibigan ni mama susan,bob ong,ang mga kaibigan ni mama susan
My Fault,08/06/2023,R,4.2,7120,"Crime, Drama, Thriller",2024,movie,y,culpa mía,mercedes ron,culpa mía
"Red, White & Royal Blue",11/08/2023,PG-13,7.0,65825,"Comedy, Romance",2023,movie,y,red white & royal blue,casey mcquiston,red white & royal blue
Sitting in Bars with Cake,08/09/2023,PG-13,6.4,3557,"Comedy, Drama, Romance",2023,movie,y,sitting in bars with cake,audrey shulman,sitting in bars with cake
Pippa,10/11/2023,,6.2,2747,"Action, Drama, History",2023,movie,y,young blood,brigadier balram singh mehta,young blood
Bihter,16/11/2023,,3.6,4217,"Drama, History",2023,movie,y,a?k-? memnu,halit ziya u?akl?gil,a?k-? memnu
Silver and the Book of Dreams,08/12/2023,,5.5,2719,"Drama, Fantasy, Romance",2023,movie,y,silver: the first book of dreams,kerstin gier,silver: the first book of dreams
Foe,05/01/2024,R,5.4,12670,"Drama, Romance, Sci-Fi",2023,movie,y,foe,iain reid,foe
Landscape with Invisible Hand,09/01/2024,R,5.9,4189,"Comedy, Drama, Sci-Fi",2023,movie,y,landscape with invisible hand,m. t. anderson,landscape with invisible hand
Five Blind Dates,13/02/2024,,5.0,1808,"Comedy, Romance",2024,movie,y,five blind dates,erin la rosa,five blind dates
The Boys in the Boat,29/03/2024,PG-13,7.0,29396,"Biography, Drama, History",2023,movie,y,the boys in the boat,daniel james brown,the boys in the boat
The Idea of You,02/05/2024,R,6.3,82785,"Comedy, Drama, Music",2024,movie,y,the idea of you,robinne lee,the idea of you
Beautiful Wedding,17/05/2024,R,4.1,4475,"Comedy, Romance",2024,movie,y,a beautiful wedding,jamie mcguire,a beautiful wedding
Arthur the King,24/05/2024,PG-13,7.0,38268,"Adventure, Drama, Sport",2024,movie,y,arthur: the dog who crossed the jungle to find a home,mikael lindnord,arthur: the dog who crossed the jungle to find a home
Killer Heat,26/09/2024,R,5.6,14633,"Crime, Drama, Mystery",2024,movie,y,the jealousy man,jo nesbø,the jealousy man
Apocalypse Z: The Beginning of the End,31/10/2024,,6.1,22936,"Action, Horror, Sci-Fi",2024,movie,y,apocalypse z: the beginning of the end,manel loureiro,apocalypse z: the beginning of the end
Unstoppable,16/01/2025,PG-13,5.8,36,"Drama, Sport",2025,movie,y,unstoppable: a memoir,anthony robles,unstoppable: a memoir
My Fault: London,13/02/2025,,6.2,13668,"Drama, Romance",2025,movie,y,culpa mía,mercedes ron,culpa mía
The Map That Leads to You,20/08/2025,PG-13,6.2,12831,"Drama, Romance",2025,movie,y,the map that leads to you,j. p. monninger,the map that leads to you
