Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type
Brad's Status,2017-09-15,R,6.5,19482.0,"Comedy, Drama, Music",2017,movie
Pass Over,2018-04-20,Not Rated,6.1,1150.0,Drama,2018,movie
Peterloo,2019-04-05,PG-13,6.5,5680.0,"Drama, History",2018,movie
Guava Island,2019-04-13,TV-MA,6.6,11900.0,"Comedy, Drama, Music",2019,movie
Brittany Runs a Marathon,2019-11-22,R,6.8,23753.0,"Comedy, Drama",2019,movie
The Report,2019-11-29,R,7.2,54874.0,"Biography, Crime, Drama",2019,movie
The Aeronauts,2019-12-20,PG-13,6.6,39885.0,"Action, Adventure, Drama",2019,movie
Troop Zero,2020-01-17,PG,6.9,12891.0,"Comedy, Drama, Family",2019,movie
Blow the Man Down,2020-03-20,R,6.4,12564.0,"Comedy, Crime, Drama",2019,movie
Guns Akimbo,2020-03-23,R,6.3,76431.0,"Action, Comedy, Crime",2019,movie
Bloodshot,2020-03-27,PG-13,5.7,90285.0,"Action, Adventure, Sci-Fi",2020,movie
Selah and the Spades,2020-04-17,R,5.1,1385.0,Drama,2019,movie
The Vast of Night,2020-05-29,PG-13,6.7,48305.0,"Drama, Mystery, Sci-Fi",2019,movie
Ponmagal Vandhal,2020-05-29,TV-MA,6.7,3184.0,"Crime, Drama, Thriller",2020,movie
Gulabo Sitabo,2020-06-12,N/A,6.3,13798.0,"Comedy, Drama",2020,movie
7500,2020-06-18,R,6.3,34203.0,"Action, Drama, Thriller",2019,movie
Penguin,2020-06-19,Not Rated,4.5,2588.0,"Drama, Mystery, Thriller",2020,movie
My Spy,2020-06-26,PG-13,6.4,40357.0,"Action, Comedy",2020,movie
Sufiyum Sujatayum,2020-07-03,Not Rated,5.5,1585.0,"Drama, Musical, Romance",2020,movie
Law,2020-07-17,R,7.4,343332.0,"Action, Crime, Drama",2009,movie
Radioactive,2020-07-24,PG-13,6.3,23792.0,"Biography, Drama, Romance",2019,movie
French Biriyani,2020-07-24,N/A,5.7,1090.0,Comedy,2020,movie
Shakuntala Devi,2020-07-31,N/A,6.2,9820.0,"Biography, Drama",2020,movie
Chemical Hearts,2020-08-21,R,6.3,17270.0,"Drama, Romance",2020,movie
Get Duked!,2020-08-28,R,6.2,8970.0,"Comedy, Horror, Music",2019,movie
C U Soon,2020-09-01,N/A,7.6,7084.0,"Drama, Mystery, Thriller",2020,movie
V,2020-09-05,TV-14,6.8,60877.0,"Drama, Sci-Fi, Thriller",2009,series
Brutus Vs César,2020-09-18,N/A,3.7,974.0,Comedy,2020,movie
The Postcard Killings,2020-09-25,Not Rated,5.8,18316.0,"Crime, Drama, Mystery",2020,movie
Black Box,2020-10-06,N/A,7.2,19038.0,"Drama, Mystery, Thriller",2021,movie
The Lie,2020-10-06,R,5.8,22215.0,"Crime, Drama, Mystery",2018,movie
Nocturne,2020-10-13,Not Rated,5.7,13458.0,"Drama, Horror, Music",2020,movie
Evil Eye,2020-10-13,Not Rated,4.8,4377.0,"Horror, Mystery, Thriller",2020,movie
Halal Love Story,2020-10-15,N/A,6.1,1695.0,Comedy,2020,movie
Putham Pudhu Kaalai,2020-10-16,N/A,6.8,1847.0,Drama,2020,movie
Borat Subsequent Moviefilm,2020-10-23,R,6.6,163791.0,Comedy,2020,movie
Bheemasena Nalamaharaja,2020-10-29,N/A,6.8,737.0,Drama,2020,movie
