Title,Premiere,is_book_adaptation,book_title,book_author
Beasts of No Nation,16/10/2015,y,Beasts of No Nation,Uzodinma Iweala
The Ridiculous 6,11/12/2015,n,,
"Crouching Tiger, Hidden Dragon: Sword of Destiny",26/02/2016,y,"Iron Knight, Silver Vase",Wang Dulu
Pee-wee's Big Holiday,18/03/2016,n,,
Special Correspondents,29/04/2016,n,,
The Do-Over,27/05/2016,n,,
The Fundamentals of Caring,24/06/2016,y,The Revised Fundamentals of Caregiving,Jonathan Evison
Brahman Naman,07/07/2016,n,,
Rebirth,15/07/2016,n,,
Tallulah,29/07/2016,n,,
XOXO,26/08/2016,n,,
ARQ,16/09/2016,n,,
The Siege of Jadotville,07/10/2016,n,,
Mascots,13/10/2016,n,,
I Am the Pretty Thing That Lives in the House,28/10/2016,n,,
7 aÃ±os,28/10/2016,n,,
True Memoirs of an International Assassin,11/11/2016,n,,
Mercy,22/11/2016,n,,
Spectral,09/12/2016,n,,
Barry,16/12/2016,n,,
Coin Heist,06/01/2017,y,Coin Heist,Elisa Ludwig
Clinical,13/01/2017,n,,
Take the 10,20/01/2017,n,,
iBOY,27/01/2017,y,iBoy,Kevin Brooks
Imperial Dreams,03/02/2017,n,,
Girlfriend's Day,14/02/2017,n,,
I Don't Feel at Home in This World Anymore,24/02/2017,n,,
Burning Sands,10/03/2017,n,,
Deidra & Laney Rob a Train,17/03/2017,n,,
The Most Hated Woman in America,24/03/2017,n,,
The Discovery,31/03/2017,n,,
Win It All,07/04/2017,n,,
Sandy Wexler,14/04/2017,n,,
Sand Castle,21/04/2017,n,,
Tramps,21/04/2017,n,,
Small Crimes,28/04/2017,n,,
Handsome: A Netflix Mystery Movie,05/05/2017,n,,
BLAME!,20/05/2017,y,Blame!,Tsutomu Nihei
War Machine,26/05/2017,n,,
Shimmer Lake,09/06/2017,n,,
Okja,28/06/2017,n,,
To the Bone,14/07/2017,n,,
The Incredible Jessica James,28/07/2017,n,,
Naked,11/08/2017,n,,
Death Note,25/08/2017,y,Death Note,Tsugumi Ohba & Takeshi Obata
Little Evil,01/09/2017,n,,
#realityhigh,08/09/2017,n,,
First They Killed My Father,15/09/2017,y,First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung
Gerald's Game,29/09/2017,y,Gerald's Game,Stephen King
Our Souls at Night,29/09/2017,y,Our Souls at Night,Kent Haruf
Bomb Scared,12/10/2017,n,,
The Babysitter,13/10/2017,n,,
The Meyerowitz Stories (New and Selected),13/10/2017,n,,
1922,20/10/2017,y,"1922 (from Full Dark, No Stars)",Stephen King
Wheelman,20/10/2017,n,,
The Killer,10/11/2017,n,,
A Christmas Prince,17/11/2017,n,,
El Camino Christmas,08/12/2017,n,,
Christmas Inheritance,15/12/2017,n,,
Bright,22/12/2017,n,,
My Own Man,06/03/2015,n,,
The Other One: The Long Strange Trip of Bob Weir,22/05/2015,n,,
Hot Girls Wanted,29/05/2015,n,,
"What Happened, Miss Simone?",26/06/2015,n,,
Tig,17/07/2015,n,,
Keith Richards: Under the Influence,18/09/2015,n,,
Winter on Fire: Ukraine's Fight for Freedom,09/10/2015,n,,
My Beautiful Broken Brain,18/03/2016,n,,
Team Foxcatcher,29/04/2016,n,,
Tony Robbins: I Am Not Your Guru,15/07/2016,n,,
I'll Sleep When I'm Dead,19/08/2016,n,,
Extremis,13/09/2016,n,,
The White Helmets,16/09/2016,n,,
Audrie & Daisy,23/09/2016,n,,
Amanda Knox,30/09/2016,n,,
13th,07/10/2016,n,,
Sky Ladder: The Art of Cai Guo-Qiang,14/10/2016,n,,
Into the Inferno,28/10/2016,n,,
The Ivory Game,04/11/2016,n,,
Casting JonBenet,28/04/2017,n,,
The Mars Generation,05/05/2017,n,,
Get Me Roger Stone,12/05/2017,n,,
Laerte-se,19/05/2017,n,,
Joshua: Teenager vs. Superpower,26/05/2017,n,,
CounterPunch,16/06/2017,n,,
Nobody Speak: Trials of the Free Press,23/06/2017,n,,
Chasing Coral,14/07/2017,n,,
Icarus,04/08/2017,n,,
Resurface,01/09/2017,n,,
Heroin(e),12/09/2017,n,,
Strong Island,15/09/2017,n,,
Gaga: Five Foot Two,22/09/2017,n,,
Long Shot,29/09/2017,n,,
The Death and Life of Marsha P. Johnson,06/10/2017,n,,
Kingdom of Us,13/10/2017,n,,
One of Us,20/10/2017,n,,
Joan Didion: The Center Will Not Hold,27/10/2017,n,,
"Jim & Andy: The Great Beyond â€“ Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",17/11/2017,n,,
Saving Capitalism,21/11/2017,n,,
Cuba and the Cameraman,24/11/2017,n,,
Voyeur,01/12/2017,n,,
A Very Murray Christmas,04/12/2015,n,,
Justin Timberlake + The Tennessee Kids,12/10/2016,n,,
13th: A Conversation with Oprah Winfrey & Ava DuVernay,26/01/2017,n,,
"Michael Bolton's Big, Sexy Valentine's Day Special",07/02/2017,n,,
Rodney King,28/04/2017,n,,
"Barbra: The Music, The Mem'ries, The Magic",22/11/2017,n,,
The Polka King,12/01/2018,n,,
Step Sisters,19/01/2018,n,,
The Open House,19/01/2018,n,,
A Futile and Stupid Gesture,26/01/2018,y,A Futile and Stupid Gesture: How Doug Kenney and National Lampoon Changed Comedy Forever,Josh Karp
The Cloverfield Paradox,04/02/2018,n,,
When We First Met,09/02/2018,n,,
Love Per Square Foot,14/02/2018,n,,
Irreplaceable You,16/02/2018,n,,
Mute,23/02/2018,n,,
The Outsider,09/03/2018,n,,
Benji,16/03/2018,n,,
"Game Over, Man!",23/03/2018,n,,
Paradox,23/03/2018,n,,
Roxanne Roxanne,23/03/2018,n,,
Happy Anniversary,30/03/2018,n,,
First Match,30/03/2018,n,,
6 Balloons,06/04/2018,n,,
Amateur,06/04/2018,y,Amateur,Walter Dean Myers
Come Sunday,13/04/2018,n,,
I Am Not an Easy Man,13/04/2018,n,,
Dude,20/04/2018,n,,
Candy Jar,27/04/2018,n,,
The Week Of,27/04/2018,n,,
Sometimes,01/05/2018,n,,
Forgive Us Our Debts,04/05/2018,n,,
The Kissing Booth,11/05/2018,y,The Kissing Booth,Beth Reekles
Cargo,18/05/2018,n,,
Ibiza,25/05/2018,n,,
