Title,Premiere
Brad's Status,2017-09-15
Pass Over,2018-04-20
Peterloo,2019-04-05
Guava Island,2019-04-13
Brittany Runs a Marathon,2019-11-22
The Report,2019-11-29
The Aeronauts,2019-12-20
Troop Zero,2020-01-17
Blow the Man Down,2020-03-20
Guns Akimbo,2020-03-23
Bloodshot,2020-03-27
Selah and the Spades,2020-04-17
The Vast of Night,2020-05-29
Ponmagal Vandhal,2020-05-29
Gulabo Sitabo,2020-06-12
7500,2020-06-18
Penguin,2020-06-19
My Spy,2020-06-26
Fourth River,2020-06-28
Sufiyum Sujatayum,2020-07-03
Law,2020-07-17
Radioactive,2020-07-24
French Biriyani,2020-07-24
Shakuntala Devi,2020-07-31
Chemical Hearts,2020-08-21
Get Duked!,2020-08-28
C U Soon,2020-09-01
V,2020-09-05
Brutus Vs César,2020-09-18
The Postcard Killings,2020-09-25
Nishabdham / Silence,2020-10-02
Black Box,2020-10-06
The Lie,2020-10-06
Nocturne,2020-10-13
Evil Eye,2020-10-13
Halal Love Story,2020-10-15
Putham Pudhu Kaalai,2020-10-16
Borat Subsequent Moviefilm,2020-10-23
Bheemasena Nalamaharaja,2020-10-29
Gatham,2020-11-06
Soorarai Pottru,2020-11-12
Chhalaang,2020-11-13
Mane Number 13,2020-11-19
Historias lamentables,2020-11-19
Middle Class Melodies,2020-11-20
Force of Nature,2020-11-23
Uncle Frank,2020-11-25
Bombhaat,2020-12-03
Sound of Metal,2020-12-04
IIT Krishnamurthy,2020-12-10
I'm Your Woman,2020-12-11
Durgamati,2020-12-11
Guvva Gorinka,2020-12-17
Unpaused,2020-12-18
Sylvie's Love,2020-12-23
Coolie No. 1,2020-12-25
Maara,2021-01-08
One Night in Miami...,2021-01-15
Forte,2021-01-25
Bliss,2021-02-05
The Map of Tiny Perfect Things,2021-02-12
Drishyam 2,2021-02-19
Coming 2 America,2021-03-04
Our Friend,2021-03-18
Picasso,2021-03-19
Joji,2021-04-07
Hello Charlie,2021-04-09
Well Done Baby,2021-04-09
Without Remorse,2021-04-30
De Oost,2021-05-13
Ek Mini Katha,2021-05-27
Pachchis,2021-06-12
Sherni,2021-06-18
Cold Case,2021-06-30
The Tomorrow War,2021-07-02
Sara's,2021-07-05
Malik,2021-07-15
Toofaan,2021-07-16
Narappa,2021-07-20
Ikkat,2021-07-21
Sarpatta Parambarai,2021-07-22
Jolt,2021-07-23
Kuruthi,2021-08-11
Shershaah,2021-08-12
Home,2021-08-19
Cinderella,2021-09-03
The Voyeurs,2021-09-10
Tuck Jagadish,2021-09-10
Everybody's Talking About Jamie,2021-09-17
The Mad Women's Ball,2021-09-17
Sunny,2021-09-23
Birds of Paradise,2021-09-24
Raame Aandalum Raavane Aandalum,2021-09-24
Bingo Hell,2021-10-01
Black as Night,2021-10-01
Bhramam,2021-10-07
Madres,2021-10-08
The Manor,2021-10-08
Udanpirappe,2021-10-14
Sardar Udham,2021-10-16
Rathnan Prapancha,2021-10-22
Anni da cane,2021-10-22
Dybbuk,2021-10-29
Jai Bhim,2021-11-02
Jivan Sandhya,2021-11-09
Flashback,2021-11-11
The Green Knight,2021-11-17
Dhummas,2021-11-23
Drushyam 2,2021-11-25
Chhorii,2021-11-26
Bali,2021-12-09
Encounter,2021-12-10
Being the Ricardos,2021-12-21
The Tender Bar,2022-01-07
Hotel Transylvania: Transformania,2022-01-14
One Cut Two Cut,2022-02-03
Book of Love,2022-02-04
Mahaan,2022-02-10
Gehraiyaan,2022-02-11
