Title,Premiere
Beasts of No Nation,2015-10-16
The Ridiculous 6,2015-12-11
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016-02-26
Pee-wee's Big Holiday,2016-03-18
Special Correspondents,2016-04-29
The Do-Over,2016-05-27
The Fundamentals of Caring,2016-06-24
Brahman Naman,2016-07-07
Rebirth,2016-07-15
Tallulah,2016-07-29
XOXO,2016-08-26
ARQ,2016-09-16
The Siege of Jadotville,2016-10-07
Mascots,2016-10-13
I Am the Pretty Thing That Lives in the House,2016-10-28
7 años,2016-10-28
True Memoirs of an International Assassin,2016-11-11
Mercy,2016-11-22
Spectral,2016-12-09
Barry,2016-12-16
Coin Heist,2017-01-06
Clinical,2017-01-13
Take the 10,2017-01-20
iBOY,2017-01-27
Imperial Dreams,2017-02-03
Girlfriend's Day,2017-02-14
I Don't Feel at Home in This World Anymore,2017-02-24
Burning Sands,2017-03-10
Deidra & Laney Rob a Train,2017-03-17
The Most Hated Woman in America,2017-03-24
The Discovery,2017-03-31
Win It All,2017-04-07
Sandy Wexler,2017-04-14
Sand Castle,2017-04-21
Tramps,2017-04-21
Small Crimes,2017-04-28
Handsome: A Netflix Mystery Movie,2017-05-05
BLAME!,2017-05-20
War Machine,2017-05-26
Shimmer Lake,2017-06-09
Okja,2017-06-28
To the Bone,2017-07-14
The Incredible Jessica James,2017-07-28
Naked,2017-08-11
Death Note,2017-08-25
Little Evil,2017-09-01
#realityhigh,2017-09-08
First They Killed My Father,2017-09-15
Gerald's Game,2017-09-29
Our Souls at Night,2017-09-29
Bomb Scared,2017-10-12
The Babysitter,2017-10-13
The Meyerowitz Stories (New and Selected),2017-10-13
1922,2017-10-20
Wheelman,2017-10-20
The Killer,2017-11-10
A Christmas Prince,2017-11-17
El Camino Christmas,2017-12-08
Christmas Inheritance,2017-12-15
Bright,2017-12-22
My Own Man,2015-03-06
The Other One: The Long Strange Trip of Bob Weir,2015-05-22
Hot Girls Wanted,2015-05-29
"What Happened, Miss Simone?",2015-06-26
Tig,2015-07-17
Keith Richards: Under the Influence,2015-09-18
Winter on Fire: Ukraine's Fight for Freedom,2015-10-09
My Beautiful Broken Brain,2016-03-18
Team Foxcatcher,2016-04-29
Tony Robbins: I Am Not Your Guru,2016-07-15
I'll Sleep When I'm Dead,2016-08-19
Extremis,2016-09-13
The White Helmets,2016-09-16
Audrie & Daisy,2016-09-23
Amanda Knox,2016-09-30
13th,2016-10-07
Sky Ladder: The Art of Cai Guo-Qiang,2016-10-14
Into the Inferno,2016-10-28
The Ivory Game,2016-11-04
Casting JonBenet,2017-04-28
The Mars Generation,2017-05-05
Get Me Roger Stone,2017-05-12
Laerte-se,2017-05-19
Joshua: Teenager vs. Superpower,2017-05-26
CounterPunch,2017-06-16
Nobody Speak: Trials of the Free Press,2017-06-23
Chasing Coral,2017-07-14
Icarus,2017-08-04
