Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author,search_key
Reacher,04/02/2022,TV-MA,8.0,291841.0,"Action, Crime, Drama",2022,series,y,jack reacher series,lee child,jack reacher
The Terminal List,01/07/2022,TV-MA,7.9,127044.0,"Action, Drama, Thriller",2022,series,y,the terminal list,jack carr,the terminal list
The Lord of the Rings: The Rings of Power,01/09/2022,TV-14,6.9,436113.0,"Action, Adventure, Drama",2022,series,y,the lord of the rings and related middle-earth works,j. r. r. tolkien,the lord of the rings and related middle-earth works
Cross,14/11/2024,TV-MA,7.2,34967.0,"Action, Crime, Drama",2024,series,y,alex cross series,james patterson,alex cross
We Were Liars,18/06/2025,TV-14,6.8,15550.0,"Drama, Mystery, Romance",2025,series,y,we were liars,e. lockhart,we were liars
Ballard,09/07/2025,TV-14,7.5,22736.0,"Crime, Drama",2025,series,y,renée ballard novels,michael connelly,renée ballard
The Terminal List: Dark Wolf,27/08/2025,TV-MA,7.6,26656.0,"Action, Drama, Thriller",2025,series,y,the terminal list universe,jack carr,the terminal list
56 Days,18/02/2026,,6.5,1393.0,"Crime, Drama, Mystery",2026,series,y,56 days,catherine ryan howard,56 days
Young Sherlock,04/03/2026,TV-14,7.5,24793.0,"Action, Adventure, Drama",2026,series,y,young sherlock holmes series,andrew lane,young sherlock holmes
Scarpetta,11/03/2026,TV-MA,6.0,14872.0,"Crime, Drama, Mystery",2026,series,y,kay scarpetta series,patricia cornwell,kay scarpetta
Off Campus,13/05/2026,TV-MA,8.2,2076.0,"Drama, Romance, Sport",2026,series,y,off-campus series,elle kennedy,off-campus
Invincible,25/03/2021,TV-MA,8.7,325720.0,"Animation, Action, Adventure",2021,series,y,invincible,robert kirkman,invincible
Batman: Caped Crusader,01/08/2024,TV-14,7.2,16288.0,"Animation, Action, Crime",2024,series,y,batman comics,dc comics,batman comics
Tatsuki Fujimoto 17-26,07/11/2025,TV-MA,8.0,2429.0,"Animation, Drama, Fantasy",2025,series,y,tatsuki fujimoto short manga collections,tatsuki fujimoto,tatsuki fujimoto short manga collections
The Silent Service,09/02/2024,,6.9,263.0,"Action, Drama, Thriller",2024,series,y,the silent service,kaiji kawaguchi,the silent service
Red Queen,29/02/2024,,6.8,6354.0,"Crime, Drama, Thriller",2024,series,y,red queen,juan gómez-jurado,red queen
The House of the Spirits,29/04/2026,R,7.7,1779.0,"Drama, Romance, Haunting",2026,series,y,the house of the spirits,isabel allende,the house of the spirits
Maxton Hallâ€”The World Between Us,09/05/2024,TV-MA,7.5,22556.0,"Drama, Romance",2024,series,y,save me,mona kasten,save me
One Night in Idaho: The College Murders,11/07/2025,TV-14,7.1,2020.0,"Documentary, Crime",2025,series,y,the idaho four: an american tragedy,james patterson and vicky ward,the idaho four: an american tragedy
