Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author,search_key
Virgin River,06/12/2019,TV-14,7.4,57217,"Drama, Romance",2019,series,y,virgin river series,robyn carr,virgin river
The Witcher,20/12/2019,TV-MA,7.9,618310,"Action, Adventure, Drama",2019,series,y,the witcher series,andrzej sapkowski,the witcher
Sweet Magnolias,19/05/2020,TV-14,7.3,27427,"Drama, Romance",2020,series,y,sweet magnolias series,sherryl woods,sweet magnolias
Bridgerton,25/12/2020,TV-MA,7.5,219043,"Drama, Romance",2020,series,y,bridgerton series,julia quinn,bridgerton
The Lincoln Lawyer,13/05/2022,TV-MA,7.8,98527,"Crime, Drama, Mystery, Thriller",2022,series,y,the brass verdict,michael connelly,the brass verdict
The Night Agent,23/03/2023,TV-MA,7.4,151290,"Action, Drama, Thriller",2023,series,y,the night agent,matthew quirk,the night agent
My Life with the Walter Boys,07/12/2023,TV-14,6.8,22962,"Drama, Romance",2023,series,y,my life with the walter boys,ali novak,my life with the walter boys
3 Body Problem,21/03/2024,TV-MA,7.5,177200,"Adventure, Drama, Fantasy",2024,series,y,the three-body problem,liu cixin,the three-body problem
Ransom Canyon,17/04/2025,TV-MA,6.8,9381,"Drama, Romance, Western",2025,series,y,ransom canyon series,jodi thomas,ransom canyon
Forever,08/05/2025,TV-MA,7.6,4911,"Drama, Romance",2025,series,y,forever…,judy blume,forever…
Bet,15/05/2025,TV-MA,6.4,5328,"Crime, Drama, Mystery",2025,series,y,kakegurui,homura kawamoto,kakegurui
Dept. Q,29/05/2025,TV-MA,8.1,111779,"Crime, Drama, Mystery",2025,series,y,the keeper of lost causes,jussi adler-olsen,the keeper of lost causes
Agatha Christie's Seven Dials,15/01/2026,TV-14,6.3,801,"Crime, Drama, Mystery",2026,series,y,the seven dials mystery,agatha christie,the seven dials mystery
Finding Her Edge,22/01/2026,TV-PG,5.9,4172,"Drama, Family, Romance",2026,series,y,finding her edge,jennifer iacopelli,finding her edge
Man on Fire,30/04/2026,TV-MA,6.7,11900,"Action, Crime, Drama, Thriller",2026,series,y,man on fire,a. j. quinnell,man on fire
One Piece,31/08/2023,TV-14,8.3,208183,"Action, Adventure, Comedy, Drama, Fantasy",2023,series,y,one piece,eiichiro oda,one piece
Geek Girl,30/05/2024,TV-PG,6.7,8072,"Comedy, Drama",2024,series,y,geek girl,holly smale,geek girl
Record of Ragnarok,17/06/2021,TV-14,6.5,10772,"Animation, Action, Adventure",2021,series,y,record of ragnarok,"shinya umemura, takumi fukui, azychika",record of ragnarok
Leviathan,10/07/2025,TV-14,6.7,788,"Animation, Action, Drama, Fantasy, History, Sci-Fi, War",2025,series,y,leviathan,scott westerfeld,leviathan
"Dr. Seuss's Red Fish, Blue Fish",08/09/2025,TV-G,7.3,42,"Animation, Adventure, Comedy",2025,series,y,one fish two fish red fish blue fish,dr. seuss,one fish two fish red fish blue fish
Lupin,08/01/2021,TV-MA,7.5,154909,"Action, Crime, Drama",2021,series,y,arsène lupin series,maurice leblanc,arsène lupin
Flunked,23/04/2026,,6.6,1121,Comedy,2026,series,y,flunked,jen calonita,flunked
The Empress,29/09/2022,TV-MA,7.8,20249,"Drama, History, Romance",2022,series,y,the empress,gigi griffis,the empress
Murder Mindfully,31/10/2024,TV-MA,7.4,10956,"Comedy, Crime, Mystery",2024,series,y,murder mindfully,karsten dusse,murder mindfully
Mismatched,20/11/2020,TV-MA,6.0,6256,"Comedy, Drama, Romance",2020,series,y,when dimple met rishi,sandhya menon,when dimple met rishi
Black Warrant,10/01/2025,TV-MA,7.9,7552,"Crime, Drama",2025,series,y,black warrant: confessions of a tihar jailer,"sunil gupta, sunetra choudhury",black warrant: confessions of a tihar jailer
Last Samurai Standing,13/11/2025,TV-MA,7.6,19071,"Action, Drama, History",2025,series,y,ikusagami,shogo imamura,ikusagami
Viral Hit,11/06/2026,TV-MA,7.1,524,"Action, Drama, Thriller",2026,series,y,viral hit,park tae-jun,viral hit
All of Us Are Dead,28/01/2022,TV-MA,7.6,87687,"Action, Drama, Fantasy",2022,series,y,now at our school,joo dong-geun,now at our school
Bloodhounds,09/06/2023,TV-MA,8.1,26563,"Action, Crime, Drama",2023,series,y,bloodhounds,jeong chan,bloodhounds
The Price of Confession,05/12/2025,TV-MA,7.6,3034,"Crime, Drama, Mystery",2025,series,y,the price of confession,kwon min-soo,the price of confession
Million-Follower Detective,12/02/2026,TV-MA,5.9,206,"Crime, Drama, Thriller",2026,series,y,the case files of young blood,feng nong,the case files of young blood
One Hundred Years of Solitude,11/12/2024,TV-MA,8.3,18967,"Drama, Fantasy, History",2024,series,y,one hundred years of solitude,gabriel garcía márquez,one hundred years of solitude
The Eternaut,30/04/2025,TV-MA,7.3,35583,"Action, Adventure, Drama",2025,series,y,the eternaut,héctor germán oesterheld,the eternaut
The Ã…re Murders,06/02/2025,TV-MA,6.7,13016,"Crime, Drama, Mystery",2025,series,y,hidden in snow,viveca sten,hidden in snow
The Chestnut Man,29/09/2021,TV-MA,7.6,66008,"Crime, Drama, Mystery",2021,series,y,the chestnut man,søren sveistrup,the chestnut man
The Hunting Wives,21/07/2025,TV-MA,6.8,17521,"Drama, Mystery, Thriller",2025,series,y,the hunting wives,may cobb,the hunting wives
A Good Girl's Guide to Murder,01/08/2024,TV-MA,6.8,20870,"Crime, Drama, Mystery",2024,series,y,a good girl's guide to murder,holly jackson,a good girl's guide to murder
