Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type
Reacher,2022-02-04,TV-MA,8.0,291841.0,"Action, Crime, Drama",2022,series
The Terminal List,2022-07-01,TV-MA,7.9,127044.0,"Action, Drama, Thriller",2022,series
The Lord of the Rings: The Rings of Power,2022-09-01,TV-14,6.9,436113.0,"Action, Adventure, Drama",2022,series
The Devil's Hour,2022-10-28,TV-MA,7.6,32008.0,"Drama, Mystery, Thriller",2022,series
Citadel,2023-04-28,TV-14,6.2,37316.0,"Action, Drama, Thriller",2023,series
Fallout,2024-04-10,TV-MA,8.3,389190.0,"Action, Adventure, Drama",2024,series
Cross,2024-11-14,TV-MA,7.2,34967.0,"Action, Crime, Drama",2024,series
House of David,2025-02-27,TV-14,7.4,13195.0,History,2025,series
We Were Liars,2025-06-18,TV-14,6.8,15550.0,"Drama, Mystery, Romance",2025,series
Ballard,2025-07-09,TV-14,7.5,22736.0,"Crime, Drama",2025,series
The Terminal List: Dark Wolf,2025-08-27,TV-MA,7.6,26656.0,"Action, Drama, Thriller",2025,series
Malice,2025-11-14,R,6.5,30561.0,"Crime, Mystery, Thriller",1993,movie
Steal,2026-01-21,TV-MA,7.0,9844.0,"Crime, Thriller",2026,series
56 Days,2026-02-18,N/A,6.5,1393.0,"Crime, Drama, Mystery",2026,series
Young Sherlock,2026-03-04,TV-14,7.5,24793.0,"Action, Adventure, Drama",2026,series
Scarpetta,2026-03-11,TV-MA,6.0,14872.0,"Crime, Drama, Mystery",2026,series
Off Campus,2026-05-13,TV-MA,8.2,2076.0,"Drama, Romance, Sport",2026,series
Deadloch,2023-06-02,N/A,7.5,15461.0,"Comedy, Crime, Mystery",2023,series
Mr. & Mrs. Smith,2024-02-02,PG-13,6.5,588762.0,"Action, Comedy, Crime",2005,movie
Overcompensating,2025-05-15,N/A,7.8,11274.0,Comedy,2025,series
Bait,2026-03-25,R,5.2,20734.0,"Action, Fantasy, Horror",2012,movie
Invincible,2021-03-25,TV-MA,8.7,325720.0,"Animation, Action, Adventure",2021,series
The Legend of Vox Machina,2022-01-28,TV-MA,8.4,53572.0,"Animation, Action, Adventure",2022,series
Hazbin Hotel,2024-01-19,TV-MA,7.7,33949.0,"Animation, Comedy, Drama",2019,series
Sausage Party: Foodtopia,2024-07-11,TV-MA,5.7,5129.0,"Animation, Adventure, Comedy",2024,series
Batman: Caped Crusader,2024-08-01,TV-14,7.2,16288.0,"Animation, Action, Crime",2024,series
Secret Level,2024-12-10,TV-14,7.3,31438.0,"Animation, Action, Adventure",2024,series
The Mighty Nein,2025-11-19,TV-MA,8.5,11590.0,"Animation, Action, Adventure",2025,series
Tatsuki Fujimoto 17-26,2025-11-07,TV-MA,8.0,2429.0,"Animation, Drama, Fantasy",2025,series
The Alibi,2025-11-07,N/A,6.8,253.0,Crime,1937,movie
Escort Boys,2023-12-22,N/A,6.9,1186.0,"Comedy, Drama",2023,series
Culte,2024-10-18,N/A,7.3,446.0,Drama,2024,series
The Glass House,2026-05-01,PG-13,5.8,41531.0,"Crime, Drama, Mystery",2001,movie
The Family Man,2019-09-20,PG-13,6.9,130361.0,"Comedy, Drama, Fantasy",2000,movie
