Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author
Reacher,04/02/2022,TV-MA,8,291841,"Action, Crime, Drama",2022,series,y,Jack Reacher series,Lee Child
The Terminal List,01/07/2022,TV-MA,7.9,127044,"Action, Drama, Thriller",2022,series,y,The Terminal List,Jack Carr
The Lord of the Rings: The Rings of Power,01/09/2022,TV-14,6.9,436113,"Action, Adventure, Drama",2022,series,y,The Lord of the Rings and related Middle-earth works,J. R. R. Tolkien
The Devil's Hour,28/10/2022,TV-MA,7.6,32008,"Drama, Mystery, Thriller",2022,series,n,,
Citadel,28/04/2023,TV-14,6.2,37316,"Action, Drama, Thriller",2023,series,n,,
Fallout,10/04/2024,TV-MA,8.3,389190,"Action, Adventure, Drama",2024,series,n,,
Cross,14/11/2024,TV-MA,7.2,34967,"Action, Crime, Drama",2024,series,y,Alex Cross series,James Patterson
House of David,27/02/2025,TV-14,7.4,13195,History,2025,series,n,,
We Were Liars,18/06/2025,TV-14,6.8,15550,"Drama, Mystery, Romance",2025,series,y,We Were Liars,E. Lockhart
Ballard,09/07/2025,TV-14,7.5,22736,"Crime, Drama",2025,series,y,Renée Ballard novels,Michael Connelly
The Terminal List: Dark Wolf,27/08/2025,TV-MA,7.6,26656,"Action, Drama, Thriller",2025,series,y,The Terminal List universe,Jack Carr
Malice,14/11/2025,R,6.5,30561,"Crime, Mystery, Thriller",1993,movie,y,Malice,Keigo Higashino
Steal,21/01/2026,TV-MA,7,9844,"Crime, Thriller",2026,series,n,,
56 Days,18/02/2026,N/A,6.5,1393,"Crime, Drama, Mystery",2026,series,y,56 Days,Catherine Ryan Howard
Young Sherlock,04/03/2026,TV-14,7.5,24793,"Action, Adventure, Drama",2026,series,y,Young Sherlock Holmes series,Andrew Lane
Scarpetta,11/03/2026,TV-MA,6,14872,"Crime, Drama, Mystery",2026,series,y,Kay Scarpetta series,Patricia Cornwell
Off Campus,13/05/2026,TV-MA,8.2,2076,"Drama, Romance, Sport",2026,series,y,Off-Campus series,Elle Kennedy
Deadloch,02/06/2023,N/A,7.5,15461,"Comedy, Crime, Mystery",2023,series,n,,
Mr. & Mrs. Smith,02/02/2024,PG-13,6.5,588762,"Action, Comedy, Crime",2005,movie,n,,
Overcompensating,15/05/2025,N/A,7.8,11274,Comedy,2025,series,n,,
Bait,25/03/2026,R,5.2,20734,"Action, Fantasy, Horror",2012,movie,n,,
Invincible,25/03/2021,TV-MA,8.7,325720,"Animation, Action, Adventure",2021,series,y,Invincible,Robert Kirkman
The Legend of Vox Machina,28/01/2022,TV-MA,8.4,53572,"Animation, Action, Adventure",2022,series,n,,
Hazbin Hotel,19/01/2024,TV-MA,7.7,33949,"Animation, Comedy, Drama",2019,series,n,,
Sausage Party: Foodtopia,11/07/2024,TV-MA,5.7,5129,"Animation, Adventure, Comedy",2024,series,n,,
Batman: Caped Crusader,01/08/2024,TV-14,7.2,16288,"Animation, Action, Crime",2024,series,y,Batman comics,DC Comics
Secret Level,10/12/2024,TV-14,7.3,31438,"Animation, Action, Adventure",2024,series,n,,
The Mighty Nein,19/11/2025,TV-MA,8.5,11590,"Animation, Action, Adventure",2025,series,n,,
Tatsuki Fujimoto 17-26,07/11/2025,TV-MA,8,2429,"Animation, Drama, Fantasy",2025,series,y,Tatsuki Fujimoto short manga collections (17–26),Tatsuki Fujimoto
The Alibi,07/11/2025,N/A,6.8,253,Crime,1937,movie,n,,
Escort Boys,22/12/2023,N/A,6.9,1186,"Comedy, Drama",2023,series,n,,
Culte,18/10/2024,N/A,7.3,446,Drama,2024,series,n,,
The Glass House,01/05/2026,PG-13,5.8,41531,"Crime, Drama, Mystery",2001,movie,n,,
The Family Man,20/09/2019,PG-13,6.9,130361,"Comedy, Drama, Fantasy",2000,movie,n,,
Panchayat,03/04/2020,TV-14,9,102532,"Comedy, Drama",2020,series,n,,
Tandav,15/01/2021,TV-14,4.7,65041,"Drama, Thriller",2021,series,n,,
Farzi,10/02/2023,TV-MA,8.3,50400,"Crime, Drama, Thriller",2023,series,n,,
Sapne Vs Everyone,08/12/2023,N/A,9.3,70672,Drama,2023,series,n,,
Call Me Bae,06/09/2024,N/A,6,6826,Romance,2024,series,n,,
Dupahiya,07/03/2025,N/A,7.5,4908,Comedy,2025,series,n,,
Andhera,14/08/2025,TV-MA,6,7074,Horror,2025,series,n,,
Daldal,30/01/2026,N/A,5.3,1807,"Crime, Drama, Thriller",2026,series,n,,
Bandwaale,13/02/2026,N/A,7.1,77,"Comedy, Drama",2026,series,n,,
Maa Ka Sum,03/04/2026,N/A,6,184,"Comedy, Drama, Family",2026,series,n,,
Matka King,17/04/2026,N/A,7.2,2146,"Crime, Drama",2026,series,n,,
Lukkhe,08/05/2026,N/A,5.2,231,"Action, Drama, Music",2026,series,n,,
Raakh,13/06/2026,Not Rated,7.1,1224,"Action, Crime, Drama",1989,movie,n,,
The Silent Service,09/02/2024,N/A,6.5,308,"Action, Drama, Thriller",2023,movie,y,The Silent Service,Kaiji Kawaguchi
Red Queen,29/02/2024,N/A,6.8,6354,"Crime, Drama, Thriller",2024,series,y,Red Queen,Juan Gómez-Jurado
"Betty, la fea: The Story Continues",19/07/2024,TV-14,6.6,713,Comedy,2024,series,n,,
Every Minute Counts,08/11/2024,N/A,7.4,272,Drama,2024,series,n,,
Her Majesty,27/02/2025,PG,6.9,481,Family,2001,movie,n,,
Menem,09/07/2025,N/A,7.5,433,Drama,2025,series,n,,
Animal Love,20/03/2026,N/A,7,828,Documentary,1996,movie,n,,
The House of the Spirits,29/04/2026,R,6.9,26147,"Drama, Romance",1993,movie,y,The House of the Spirits,Isabel Allende
New Bandits,18/08/2023,18+,8.3,3334,"Action, Crime, Drama",2023,series,n,,
That Cover Girl,19/10/2023,TV-14,9.2,876,"Drama, Romance",2023,series,n,,
Maxton Hallâ€”The World Between Us,09/05/2024,TV-MA,7.5,22556,"Drama, Romance",2024,series,y,Save Me,Mona Kasten
The Grand Tour,18/11/2016,TV-14,8.7,93882,"Adventure, Comedy, Sport",2016,series,n,,
Clarkson's Farm,11/06/2021,TV-PG,9,83859,"Documentary, Comedy, Reality-TV",2021,series,n,,
One Night in Idaho: The College Murders,11/07/2025,TV-14,7.1,2020.0,"Documentary, Crime",2025,series,y,The Idaho Four: An American Tragedy,James Patterson and Vicky Ward
LOL: Last One Laughing Italy,26/02/2021,N/A,7.2,2168,Comedy,2021,series,n,,
LOL: Last One Laughing Germany,01/04/2021,TV-14,7.5,3899,"Comedy, Reality-TV",2021,series,n,,
"LOL: Qui rit, sort!",22/04/2021,N/A,6.2,709,Comedy,2021,series,n,,
LOL: Last One Laughing Brazil,03/12/2021,N/A,6.8,436,"Comedy, Game-Show, Reality-TV",2021,series,n,,
LOL: Last One Laughing Netherlands,20/01/2023,N/A,6.8,451,Comedy,2023,series,n,,
LOL: Last One Laughing Argentina,17/03/2023,N/A,3.2,107,Comedy,2023,series,n,,
LOL: Last One Laughing Colombia,11/08/2023,N/A,3.6,72,Game-Show,2023,series,n,,
007: Road to a Million,10/11/2023,TV-MA,6.7,1976,"Adventure, Game-Show, Reality-TV",2023,series,n,,
Beast Games,19/12/2024,TV-PG,5.9,22494,Game-Show,2024,series,n,,
June Farms,17/11/2025,N/A,6.6,51,Reality-TV,2025,series,n,,
Trainer Games,08/01/2026,N/A,7.7,33,Reality-TV,2026,series,n,,
American Gladiators,17/04/2026,TV-PG,6.6,3374,"Action, Game-Show, Sport",1989,series,n,,
Punto Nemo,28/03/2025,N/A,5.3,381,"Action, Adventure, Drama",2025,series,n,,
Snake Killer,15/01/2026,TV-MA,7.4,771,"Crime, Thriller",2026,series,n,,
Vaka,30/01/2026,N/A,5.7,760,Thriller,2026,series,n,,
"Pesci piccoli â€“ Un'agenzia, molte idee, poco budget",08/06/2023,N/A,6.9,507,Comedy,2023,series,n,,
In the Name of Love,05/09/2025,N/A,7.3,407,"Drama, Romance",2008,series,n,,
The 50,11/03/2024,N/A,2.8,194,N/A,2026,series,n,,
The Assassin,25/07/2025,Not Rated,6.3,18711,"Action, Drama, History",2015,movie,n,,
