Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type
Virgin River,2019-12-06,TV-14,7.4,57217.0,"Drama, Romance",2019,series
The Witcher,2019-12-20,TV-MA,7.9,618310.0,"Action, Adventure, Drama",2019,series
Outer Banks,2020-04-15,TV-MA,7.5,104906.0,"Action, Crime, Drama",2020,series
Sweet Magnolias,2020-05-19,TV-14,7.3,27427.0,"Drama, Romance",2020,series
Bridgerton,2020-12-25,TV-MA,7.5,219043.0,"Drama, Romance",2020,series
The Lincoln Lawyer,2022-05-13,R,7.3,266302.0,"Crime, Drama, Mystery",2011,movie
The Night Agent,2023-03-23,TV-MA,7.4,151290.0,"Action, Drama, Thriller",2023,series
The Diplomat,2023-04-20,TV-MA,8.0,97245.0,"Drama, Thriller",2023,series
Fatal Seduction,2023-07-07,TV-MA,4.9,1850.0,"Crime, Drama, Mystery",2023,series
My Life with the Walter Boys,2023-12-07,TV-14,6.8,22962.0,"Drama, Romance",2023,series
3 Body Problem,2024-03-21,TV-MA,7.5,177200.0,"Adventure, Drama, Fantasy",2024,series
Supacell,2024-06-27,TV-MA,7.0,21397.0,"Action, Adventure, Drama",2024,series
Beauty in Black,2024-10-24,TV-MA,5.7,4118.0,Drama,2024,series
Black Doves,2024-12-05,TV-MA,7.2,73778.0,"Action, Drama, Mystery",2024,series
Ransom Canyon,2025-04-17,TV-MA,6.8,9381.0,"Drama, Romance, Western",2025,series
Forever,2025-05-08,TV-PG,8.2,65147.0,"Crime, Drama, Fantasy",2014,series
Bet,2025-05-15,TV-MA,6.4,5328.0,"Crime, Drama, Mystery",2025,series
Dept. Q,2025-05-29,TV-MA,8.1,111779.0,"Crime, Drama, Mystery",2025,series
Untamed,2025-07-17,TV-MA,7.1,70514.0,"Crime, Drama, Mystery",2025,series
House of Guinness,2025-09-25,TV-MA,7.4,27166.0,"Biography, Drama, History",2025,series
Bad Influencer,2025-10-31,TV-MA,6.2,409.0,"Crime, Drama",2025,series
Agatha Christie's Seven Dials,2026-01-15,TV-14,6.3,801.0,"Crime, Drama, Mystery",2026,series
Finding Her Edge,2026-01-22,TV-PG,5.9,4172.0,"Drama, Family, Romance",2026,series
Something Very Bad Is Going to Happen,2026-03-26,TV-MA,6.8,21639.0,"Drama, Horror",2026,series
Man on Fire,2026-04-30,R,7.7,420267.0,"Action, Crime, Drama",2004,movie
Legends,2026-05-07,TV-MA,7.4,13771.0,"Action, Crime, Drama",2014,series
Nemesis,2026-05-14,R,5.4,7319.0,"Action, Drama, Sci-Fi",1992,movie
Emily in Paris,2020-10-02,TV-MA,6.8,141378.0,"Comedy, Drama, Romance",2020,series
Wednesday,2022-11-23,TV-14,8.0,498028.0,"Comedy, Crime, Fantasy",2022,series
Beef,2023-04-06,TV-MA,8.0,163497.0,"Comedy, Drama",2023,series
"XO, Kitty",2023-05-18,TV-14,6.5,22644.0,"Comedy, Drama, Romance",2023,series
Survival of the Thickest,2023-07-13,TV-MA,7.5,6156.0,Comedy,2023,series
The Gentlemen,2024-03-07,R,7.8,452815.0,"Action, Comedy, Crime",2019,movie
Tires,2024-05-23,TV-MA,7.6,20758.0,Comedy,2024,series
Nobody Wants This,2024-09-26,TV-MA,7.7,81339.0,"Comedy, Drama, Romance",2024,series
A Man on the Inside,2024-11-21,TV-14,7.6,42370.0,"Comedy, Crime",2024,series
