Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type,is_book_adaptation,book_title,book_author
Virgin River,06/12/2019,TV-14,7.4,57217,"Drama, Romance",2019,series,y,Virgin River series,Robyn Carr
The Witcher,20/12/2019,TV-MA,7.9,618310,"Action, Adventure, Drama",2019,series,y,The Witcher series,Andrzej Sapkowski
Outer Banks,15/04/2020,TV-MA,7.5,104906,"Action, Crime, Drama",2020,series,n,,
Sweet Magnolias,19/05/2020,TV-14,7.3,27427,"Drama, Romance",2020,series,y,Sweet Magnolias series,Sherryl Woods
Bridgerton,25/12/2020,TV-MA,7.5,219043,"Drama, Romance",2020,series,y,Bridgerton series,Julia Quinn
The Lincoln Lawyer,13/05/2022,R,7.3,266302,"Crime, Drama, Mystery",2011,movie,y,The Brass Verdict,Michael Connelly
The Night Agent,23/03/2023,TV-MA,7.4,151290,"Action, Drama, Thriller",2023,series,y,The Night Agent,Matthew Quirk
The Diplomat,20/04/2023,TV-MA,8,97245,"Drama, Thriller",2023,series,n,,
Fatal Seduction,07/07/2023,TV-MA,4.9,1850,"Crime, Drama, Mystery",2023,series,n,,
My Life with the Walter Boys,07/12/2023,TV-14,6.8,22962,"Drama, Romance",2023,series,y,My Life with the Walter Boys,Ali Novak
3 Body Problem,21/03/2024,TV-MA,7.5,177200,"Adventure, Drama, Fantasy",2024,series,y,The Three-Body Problem (Remembrance of Earth's Past trilogy),Liu Cixin
Supacell,27/06/2024,TV-MA,7,21397,"Action, Adventure, Drama",2024,series,n,,
Beauty in Black,24/10/2024,TV-MA,5.7,4118,Drama,2024,series,n,,
Black Doves,05/12/2024,TV-MA,7.2,73778,"Action, Drama, Mystery",2024,series,n,,
Ransom Canyon,17/04/2025,TV-MA,6.8,9381,"Drama, Romance, Western",2025,series,y,Ransom Canyon series,Jodi Thomas
Forever,08/05/2025,TV-PG,8.2,65147,"Crime, Drama, Fantasy",2014,series,y,Forever…,Judy Blume
Bet,15/05/2025,TV-MA,6.4,5328,"Crime, Drama, Mystery",2025,series,y,Kakegurui,Homura Kawamoto
Dept. Q,29/05/2025,TV-MA,8.1,111779,"Crime, Drama, Mystery",2025,series,y,The Keeper of Lost Causes (Department Q series),Jussi Adler-Olsen
Untamed,17/07/2025,TV-MA,7.1,70514,"Crime, Drama, Mystery",2025,series,n,,
House of Guinness,25/09/2025,TV-MA,7.4,27166,"Biography, Drama, History",2025,series,n,,
Bad Influencer,31/10/2025,TV-MA,6.2,409,"Crime, Drama",2025,series,n,,
Agatha Christie's Seven Dials,15/01/2026,TV-14,6.3,801,"Crime, Drama, Mystery",2026,series,y,The Seven Dials Mystery,Agatha Christie
Finding Her Edge,22/01/2026,TV-PG,5.9,4172,"Drama, Family, Romance",2026,series,y,Finding Her Edge,Jennifer Iacopelli
Something Very Bad Is Going to Happen,26/03/2026,TV-MA,6.8,21639,"Drama, Horror",2026,series,n,,
Man on Fire,30/04/2026,R,7.7,420267,"Action, Crime, Drama",2004,movie,y,Man on Fire,A. J. Quinnell
Legends,07/05/2026,TV-MA,7.4,13771,"Action, Crime, Drama",2014,series,n,,
Nemesis,14/05/2026,R,5.4,7319,"Action, Drama, Sci-Fi",1992,movie,n,,
Emily in Paris,02/10/2020,TV-MA,6.8,141378,"Comedy, Drama, Romance",2020,series,n,,
Wednesday,23/11/2022,TV-14,8,498028,"Comedy, Crime, Fantasy",2022,series,n,,
Beef,06/04/2023,TV-MA,8,163497,"Comedy, Drama",2023,series,n,,
"XO, Kitty",18/05/2023,TV-14,6.5,22644,"Comedy, Drama, Romance",2023,series,n,,
Survival of the Thickest,13/07/2023,TV-MA,7.5,6156,Comedy,2023,series,n,,
The Gentlemen,07/03/2024,R,7.8,452815,"Action, Comedy, Crime",2019,movie,n,,
Tires,23/05/2024,TV-MA,7.6,20758,Comedy,2024,series,n,,
Nobody Wants This,26/09/2024,TV-MA,7.7,81339,"Comedy, Drama, Romance",2024,series,n,,
A Man on the Inside,21/11/2024,TV-14,7.6,42370,"Comedy, Crime",2024,series,n,,
Running Point,27/02/2025,TV-MA,7.3,23456,"Comedy, Sport",2025,series,n,,
The Four Seasons,01/05/2025,TV-MA,7.2,24348,"Comedy, Romance",2025,series,n,,
Bad Thoughts,13/05/2025,TV-MA,6.2,6556,Comedy,2025,series,n,,
Miss Governor,22/05/2025,TV-MA,4.8,896,Comedy,2023,series,n,,
Leanne,31/07/2025,TV-MA,7.1,4554,Comedy,2025,series,n,,
How to Get to Heaven from Belfast,12/02/2026,TV-MA,7.4,4607,"Comedy, Thriller",2026,series,n,,
Big Mistakes,09/04/2026,TV-MA,7.2,4448,"Comedy, Crime",2026,series,n,,
One Piece,31/08/2023,TV-14,9,350970,"Animation, Action, Adventure",1999,series,y,One Piece,Eiichiro Oda
Avatar: The Last Airbender,22/02/2024,TV-Y7-FV,9.3,432739,"Animation, Action, Adventure",2005,series,n,,
Geek Girl,30/05/2024,TV-PG,6.7,8072,"Comedy, Drama",2024,series,y,Geek Girl,Holly Smale
Blue Eye Samurai,03/11/2023,TV-MA,8.7,101210,"Animation, Action, Adventure",2023,series,n,,
Devil May Cry,03/04/2025,TV-MA,7.4,30949,"Animation, Action, Adventure",2025,series,n,,
Long Story Short,22/08/2025,R,6.6,7250,"Comedy, Fantasy, Romance",2021,movie,n,,
Haunted Hotel,19/09/2025,TV-MA,7.7,3024,"Animation, Comedy, Horror",2025,series,n,,
Mating Season,22/05/2026,N/A,7.1,15,"Short, Comedy",2005,movie,n,,
Record of Ragnarok,17/06/2021,TV-14,6.5,10772,"Animation, Action, Adventure",2021,series,y,Record of Ragnarok,"Shinya Umemura, Takumi Fukui, Azychika"
PokÃ©mon Concierge,28/12/2023,TV-PG,7.5,3137,"Animation, Short, Adventure",2023,series,n,,
Leviathan,10/07/2025,R,7.6,59296,"Crime, Drama",2014,movie,y,Leviathan,Scott Westerfeld
Splinter Cell: Deathwatch,14/10/2025,TV-MA,6.9,4256,"Animation, Action, Adventure",2025,series,n,,
Love Through a Prism,15/01/2026,TV-PG,8.3,1239,"Animation, Drama, History",2026,series,n,,
Dandelion,16/04/2026,R,6.8,2028,"Drama, Romance",2004,movie,n,,
Trash Truck,10/11/2020,TV-Y,8.6,1010,"Animation, Family",2020,series,n,,
Gabby's Dollhouse,05/01/2021,G,5.5,2474,"Animation, Adventure, Comedy",2025,movie,n,,
The Creature Cases,12/04/2022,TV-Y,7.6,306,"Animation, Action, Adventure",2022,series,n,,
Cocomelon Lane,17/11/2023,TV-Y,3.9,896,"Animation, Comedy, Family",2023,series,n,,
Barbie Mysteries,01/11/2024,TV-Y,6.5,39,"Animation, Adventure, Comedy",2024,series,n,,
"Dr. Seuss's Red Fish, Blue Fish",08/09/2025,TV-G,7.3,42,"Animation, Adventure, Comedy",2025,series,y,One Fish Two Fish Red Fish Blue Fish,Dr. Seuss
Unicorn Academy: Secrets Revealed,19/03/2026,N/A,8.2,74,"Animation, Adventure, Comedy",2026,series,n,,
Stranger Things: Tales from '85,23/04/2026,TV-PG,5.8,6215,"Animation, Adventure, Drama",2026,series,n,,
Roosters,28/02/2025,TV-MA,6.8,579,Comedy,2025,series,n,,
Football Parents,16/05/2025,TV-MA,6.1,803,"Comedy, Sport",2025,series,n,,
Lupin,08/01/2021,TV-MA,7.5,154909,"Action, Crime, Drama",2021,series,y,Arsène Lupin series,Maurice Leblanc
Blood Coast,06/12/2023,TV-MA,7,2879,"Action, Crime, Drama",2023,series,n,,
Furies,01/03/2024,TV-MA,6.3,3994,"Action, Crime, Drama",2024,series,n,,
The Cage,08/11/2024,TV-MA,6.5,2684,"Biography, Drama, Sport",2024,series,n,,
Under a Dark Sun,09/07/2025,TV-MA,5.9,1722,"Crime, Drama, Mystery",2025,series,n,,
Young Millionaires,13/08/2025,TV-MA,5.8,813,"Comedy, Drama",2025,series,n,,
NÃ©ro the Assassin,08/10/2025,TV-MA,6.8,3713,"Action, Adventure, Drama",2025,series,n,,
Bandi,09/04/2026,N/A,6.5,613,"Crime, Drama",2026,series,n,,
